,COMMA,COLON,SEMI,LPAREN,RPAREN,LBRACK,RBRACK,MINUS,PLUS,MULT,DIV,EQ,LESSER,NEQ,GREATER,LESSEREQ,GREATEREQ,AND,OR,ASSIGN,COMMENT,ID,INTLIT,STRLIT,$,NULL,ARRAY,BREAK,DO,ELSE,END,FOR,FUNC,IF,IN,LET,NIL,OF,THEN,TO,TYPE,VAR,WHILE,ENDIF,BEGIN,ENDDO,RETURN,START,_COMMENT_END,TIGER_PROGRAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TIGER_PROGRAM --> LET DECLARATION_SEGMENT IN STAT_SEQ END ,,,,,,,,,,,,,,
BOOL_EXPR_TAIL,BOOL_EXPR_TAIL --> NULL ,,BOOL_EXPR_TAIL --> NULL ,,BOOL_EXPR_TAIL --> NULL ,,BOOL_EXPR_TAIL --> NULL ,,,,,BOOL_EXPR_TAIL --> BOOL_OP ADD_SUB_EXPR BOOL_EXPR_TAIL ,BOOL_EXPR_TAIL --> BOOL_OP ADD_SUB_EXPR BOOL_EXPR_TAIL ,BOOL_EXPR_TAIL --> BOOL_OP ADD_SUB_EXPR BOOL_EXPR_TAIL ,BOOL_EXPR_TAIL --> BOOL_OP ADD_SUB_EXPR BOOL_EXPR_TAIL ,BOOL_EXPR_TAIL --> BOOL_OP ADD_SUB_EXPR BOOL_EXPR_TAIL ,BOOL_EXPR_TAIL --> BOOL_OP ADD_SUB_EXPR BOOL_EXPR_TAIL ,BOOL_EXPR_TAIL --> NULL ,,,,,,,,,,,BOOL_EXPR_TAIL --> NULL ,,,,,,,,,,BOOL_EXPR_TAIL --> NULL ,BOOL_EXPR_TAIL --> NULL ,,,,,,,,,,
AND_EXPR,,,,,,,,AND_EXPR --> BOOL_EXPR AND_EXPR_TAIL ,,,,,,,,,,,,,,AND_EXPR --> BOOL_EXPR AND_EXPR_TAIL ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AND_EXPR_TAIL,AND_EXPR_TAIL --> NULL ,,AND_EXPR_TAIL --> NULL ,,AND_EXPR_TAIL --> NULL ,,AND_EXPR_TAIL --> NULL ,,,,,,,,,,,AND_EXPR_TAIL --> AND BOOL_EXPR AND_EXPR_TAIL ,,,,,,,,,,,AND_EXPR_TAIL --> NULL ,,,,,,,,,,AND_EXPR_TAIL --> NULL ,AND_EXPR_TAIL --> NULL ,,,,,,,,,,
OR_EXPR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOOL_OP,,,,,,,,,,,,BOOL_OP --> EQ ,BOOL_OP --> LESSER ,BOOL_OP --> NEQ ,BOOL_OP --> GREATER ,BOOL_OP --> LESSEREQ ,BOOL_OP --> GREATEREQ ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONST,,,,,,,,,,,,,,,,,,,,,,,CONST --> INTLIT ,CONST --> STRLIT ,,,,,,,,,,,,,CONST --> NIL ,,,,,,,,,,,,,
EXPR_LIST,,,,EXPR_LIST --> EXPR EXPR_LIST_TAIL ,EXPR_LIST --> NULL ,,,EXPR_LIST --> EXPR EXPR_LIST_TAIL ,,,,,,,,,,,,,,EXPR_LIST --> EXPR EXPR_LIST_TAIL ,EXPR_LIST --> EXPR EXPR_LIST_TAIL ,EXPR_LIST --> EXPR EXPR_LIST_TAIL ,,,,,,,,,,,,,EXPR_LIST --> EXPR EXPR_LIST_TAIL ,,,,,,,,,,,,,
EXPR_LIST_TAIL,EXPR_LIST_TAIL --> COMMA EXPR EXPR_LIST_TAIL ,,,,EXPR_LIST_TAIL --> NULL ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LVALUE,,,,,,,,,,,,,,,,,,,,,,LVALUE --> ID LVALUE_TAIL ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LVALUE_TAIL,LVALUE_TAIL --> NULL ,,LVALUE_TAIL --> NULL ,,LVALUE_TAIL --> NULL ,LVALUE_TAIL --> LBRACK EXPR RBRACK LVALUE_TAIL ,LVALUE_TAIL --> NULL ,,LVALUE_TAIL --> NULL ,LVALUE_TAIL --> NULL ,,LVALUE_TAIL --> NULL ,LVALUE_TAIL --> NULL ,LVALUE_TAIL --> NULL ,LVALUE_TAIL --> NULL ,LVALUE_TAIL --> NULL ,LVALUE_TAIL --> NULL ,LVALUE_TAIL --> NULL ,,LVALUE_TAIL --> NULL ,,,,,,,,,LVALUE_TAIL --> NULL ,,,,,,,,,,LVALUE_TAIL --> NULL ,LVALUE_TAIL --> NULL ,,,,,,,,,,
OPT_PREFIX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
